well_id,api_formatted,compl_date
4674676,42-389-36459,2/12/2018
4674783,42-389-36440,9/26/2018
4676231,42-389-36502,7/26/2018
4679144,42-389-36484,7/8/2018
4679274,42-109-33226,6/14/2018
4679481,30-015-44538,7/18/2018
4679485,30-015-44545,9/15/2018
4680234,42-389-36546,5/14/2018
4680861,30-015-44589,10/10/2018
4682072,30-015-44578,8/7/2018
4686014,42-371-39653,4/25/2018
4686429,30-025-44290,5/1/2018
4728135,42-475-37327,6/27/2018
4728188,42-109-33270,7/5/2018
4728859,42-389-36645,6/26/2018
4734891,42-301-33811,6/30/2018
4734983,30-025-44507,6/11/2018
4736184,42-109-33299,8/17/2018
4747252,42-109-33300,9/8/2018
4747402,42-301-33948,7/14/2018
5285839,42-301-34060,10/20/2018
5288355,30-015-44990,7/6/2018
5288753,30-025-44950,8/14/2018
1103975,30-025-40043,8/19/2011
4420694,30-025-43775,9/15/2018
4671468,30-015-44426,8/28/2018
4675237,30-015-44501,7/23/2018
4682321,30-015-44591,8/9/2018
505179,30-015-38643,7/11/2012
506345,30-015-42129,12/29/2014
506795,30-025-40550,9/23/2012
506921,30-025-40968,3/12/2015
507030,30-025-41264,3/15/2015
508349,30-015-40332,10/21/2012
508579,30-015-41038,10/13/2014
508886,30-015-41758,7/24/2014
508977,30-015-42058,8/10/2014
509092,30-015-42504,3/21/2015
509493,30-015-40069,10/3/2013
509508,30-025-40088,12/25/2012
510252,30-025-42062,5/4/2015
510257,30-025-42288,3/4/2015
510491,30-015-38114,3/1/2012
510504,30-015-39143,4/1/2012
510663,30-015-41923,1/13/2015
511075,30-015-41047,3/17/2014
511392,30-025-40634,2/20/2013
511647,30-025-41290,9/15/2015
511696,30-015-40828,12/17/2013
512262,30-015-40947,9/3/2013
512391,30-015-42455,1/30/2015
512459,30-025-40814,2/8/2013
512463,30-025-40875,6/26/2013
512532,30-015-43040,8/18/2015
512638,30-025-41127,1/17/2015
512650,30-025-41229,8/8/2014
512824,30-015-42403,9/9/2014
512833,30-015-42625,3/16/2015
512842,30-025-41362,3/4/2015
512843,30-025-41366,1/14/2014
512945,30-025-40804,2/12/2013
513070,30-025-40949,8/16/2014
513203,30-015-43488,7/18/2016
513243,30-025-41437,6/28/2014
513380,30-025-41714,9/8/2014
513686,30-025-42352,4/28/2015
513750,30-025-41210,11/13/2013
513836,30-025-41562,10/10/2014
521105,30-015-42131,3/21/2015
521201,30-015-42667,12/14/2015
521209,30-015-42923,5/8/2015
521886,30-025-41291,12/20/2013
522178,30-025-41909,9/13/2014
522286,30-025-42710,11/6/2015
571890,42-109-32547,6/8/2013
580555,42-109-32645,7/17/2014
589533,42-109-32589,4/19/2014
589535,42-109-32620,2/4/2014
589672,42-109-32377,8/26/2011
590310,42-109-32544,9/24/2013
591521,42-109-32399,6/18/2012
591656,42-109-32619,12/29/2013
604016,42-301-31642,6/15/2012
604026,42-301-31716,10/23/2014
604166,42-301-31946,4/11/2014
