well_id,api_formatted,compl_date,xmid,xlen,ymid,ylen,zmid,zlen,NS_orientation,xpos_dist,xpos_date,xpos_id,xpos_api,xneg_dist,xneg_date,xneg_id,xneg_api,ypos_dist,ypos_date,ypos_id,ypos_api,yneg_dist,yneg_date,yneg_id,yneg_api,zpos_dist,zpos_date,zpos_id,zpos_api,zneg_dist,zneg_date,zneg_id,zneg_api,xy_dist,xy_date,xy_id,xy_api,xyz_dist,xyz_date,xyz_id,xyz_api
602948,4217334092,2011-08-03,876933.0,750.0,11563229.0,3142.0,-6668.5,19.0,True,,,,,,,,,,,,,,,,,,,,,,,,,4353.05826402542,2011-05-08,743492.0,4217333999.0,4353.072162278038,2011-05-08,743492.0,4217333999.0
627257,4231736666,2011-08-05,2538000.5,373.0,11706440.5,823.0,-8653.5,13.0,True,,,,,,,,,,,,,,,,,,,,,,,,,154816.1572034715,2011-03-02,2831592.0,4232936717.0,154827.71778738458,2011-03-02,2831592.0,4232936717.0
602777,4217334186,2011-08-08,889758.0,960.0,11558358.5,3773.0,-6534.0,94.0,True,3150.0,2011-02-05,2627149.0,4217333845.0,-5798.5,2010-12-19,2675076.0,4217333793.0,,,,,,,,,,,,,,,,,3349.6001253881036,2011-02-05,2627149.0,4217333845.0,3349.7435722753467,2011-02-05,2627149.0,4217333845.0
602791,4217334322,2011-08-28,868977.0,938.0,11617450.5,3529.0,-6599.5,23.0,True,,,,,,,,,,,,,,,,,,,,,,,,,46141.895940674134,2011-05-14,602637.0,4217334054.0,46142.01090113,2011-05-14,602637.0,4217334054.0
591763,4217334075,2011-09-05,817506.5,501.0,11598169.0,2738.0,-5422.0,52.0,True,,,,,,,,,,,,,,,,,,,,,,,,,48746.16469272224,2010-07-01,2801018.0,4232900552.0,48746.52146051039,2010-07-01,2801018.0,4232900552.0
743521,4217334243,2011-09-18,869630.0,598.0,11506858.0,2592.0,-5065.5,9.0,True,,,,,,,,,,,,,,,,,,,,,,,,,31772.422672814864,2010-11-24,2914320.0,4238336958.0,31772.42367997758,2010-11-24,2914320.0,4238336958.0
749286,4238337140,2011-09-22,897072.5,85.0,11468901.5,3071.0,-6596.5,5.0,True,,,,,,,,,,,,,,,,,,,,,,,,,17454.913033298104,2010-11-24,2914320.0,4238336958.0,17522.628512868723,2010-11-24,2914320.0,4238336958.0
602848,4217334253,2011-09-25,839481.5,787.0,11646785.0,3256.0,-6676.0,22.0,True,,,,,,,,,,,,,,,,,,,,,,,,,5180.363935091819,2011-05-14,602637.0,4217334054.0,5180.431714635374,2011-05-14,602637.0,4217334054.0
4368140,4227736668,2011-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655084,4246137457,2011-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603516,4217334362,2011-11-11,837521.5,693.0,11646320.5,2995.0,-6706.5,15.0,True,1960.0,2011-09-25,602848.0,4217334253.0,,,,,5474.0,2011-05-14,602637.0,4217334054.0,,,,,,,,,,,,,2014.2890184876649,2011-09-25,602848.0,4217334253.0,2014.519917995352,2011-09-25,602848.0,4217334253.0
592002,4217334463,2011-11-16,883383.5,841.0,11559677.0,3616.0,-6606.5,13.0,True,6374.5,2011-08-08,602777.0,4217334186.0,-8031.0,2011-05-08,743492.0,4217333999.0,,,,,-3560.5,2010-12-19,2675076.0,4217333793.0,,,,,,,,,3606.790297480573,2010-12-19,2675076.0,4217333793.0,3606.8514316506025,2010-12-19,2675076.0,4217333793.0
652863,4246137533,2011-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747261,4231737060,2012-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640014,4238337499,2012-01-25,898528.5,209.0,11469942.5,5825.0,-4765.5,45.0,True,,,,,,,,,,,,,,,,,,,,,,,,,1789.8650787140355,2011-09-22,749286.0,4238337140.0,2560.5034661175523,2011-09-22,749286.0,4238337140.0
603672,4217334583,2012-02-02,887199.0,790.0,11554950.0,3290.0,-6581.5,27.0,True,2559.0,2011-08-08,602777.0,4217334186.0,-3239.5,2010-12-19,2675076.0,4217333793.0,,,,,,,,,,,,,,,,,3443.1210405676998,2010-12-19,2675076.0,4217333793.0,3443.4283062087993,2010-12-19,2675076.0,4217333793.0
628614,4231737150,2012-02-05,720279.5,545.0,11695513.0,2362.0,-8149.5,13.0,True,,,,,,,,,,,,,,,,,,,,,,,,,108765.8842307642,2011-06-01,591177.0,4222736585.0,109028.06182240424,2011-06-01,591177.0,4222736585.0
602909,4217334538,2012-02-10,916435.5,905.0,11551850.0,3272.0,-6342.5,83.0,True,,,,,-29236.5,2012-02-02,603672.0,4217334583.0,,,,,,,,,,,,,,,,,21438.256044977166,2011-06-13,583018.0,4217334010.0,21438.257934123285,2011-06-13,583018.0,4217334010.0
603108,4217334668,2012-02-27,873054.5,841.0,11558075.5,3687.0,-6733.5,23.0,True,2298.0,2011-05-08,743492.0,4217333999.0,,,,,,,,,,,,,,,,,,,,,2546.6272302792963,2011-05-08,743492.0,4217333999.0,2547.761026862606,2011-05-08,743492.0,4217333999.0
643137,4238337585,2012-03-03,892688.5,171.0,11476248.0,4192.0,-4871.5,29.0,True,,,,,-10774.0,2010-11-24,2914320.0,4238336958.0,,,,,,,,,,,,,,,,,8555.145717636842,2011-09-22,749286.0,4238337140.0,8595.124562797215,2012-01-25,640014.0,4238337499.0
649420,4238337593,2012-03-20,886842.5,93.0,11490039.0,3832.0,-5001.0,12.0,True,,,,,,,,,,,,,,,,,,,,,,,,,13420.059249124051,2010-11-24,2914320.0,4238336958.0,13420.17818436104,2010-11-24,2914320.0,4238336958.0
592121,4217334694,2012-03-24,870465.0,760.0,11502036.0,3432.0,-5030.0,26.0,True,,,,,,,,,4822.0,2011-09-18,743521.0,4217334243.0,,,,,,,,,,,,,4893.76225413536,2011-09-18,743521.0,4217334243.0,4893.891013294023,2011-09-18,743521.0,4217334243.0
603168,4217334749,2012-04-05,855687.5,745.0,11542843.5,3389.0,-6937.0,18.0,True,,,,,,,,,,,,,,,,,,,,,,,,,23100.35742147727,2012-02-27,603108.0,4217334668.0,23101.25375926597,2012-02-27,603108.0,4217334668.0
642342,4238337627,2012-04-18,904197.5,1.0,11468713.0,374.0,-4684.0,4.0,True,,,,,-5669.0,2012-01-25,640014.0,4238337499.0,,,,,,,,,,,,,,,,,5800.795742827013,2012-01-25,640014.0,4238337499.0,5801.368243785254,2012-01-25,640014.0,4238337499.0
629487,4246137508,2012-05-01,710154.5,145.0,11445154.0,1732.0,-5514.0,20.0,True,,,,,,,,,,,,,,,,,,,,,,,,,110877.26937474606,2011-05-20,2872531.0,4232936817.0,110900.30984740304,2011-05-20,2872531.0,4232936817.0
603223,4217334859,2012-05-26,879446.0,168.0,11564932.5,547.0,-6580.5,5.0,True,,,,,-2513.0,2011-08-03,602948.0,4217334092.0,,,,,,,,,,,,,,,,,3035.964632534444,2011-08-03,602948.0,4217334092.0,3037.2397419367476,2011-08-03,602948.0,4217334092.0
603624,4217334806,2012-06-01,905004.0,798.0,11515571.0,3198.0,-4624.0,18.0,True,,,,,,,,,,,,,-46858.0,2012-04-18,642342.0,4238337627.0,,,,,,,,,22109.93311839726,2011-06-13,583018.0,4217334010.0,22175.922365259128,2011-06-13,583018.0,4217334010.0
627014,4231737455,2012-06-08,2544052.0,920.0,11690877.5,3005.0,-8303.5,33.0,True,,,,,,,,,,,,,,,,,,,,,,,,,16698.13226831073,2011-08-05,627257.0,4231736666.0,16701.799940425582,2011-08-05,627257.0,4231736666.0
744888,4222739693,2012-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583608,4217334820,2012-06-22,898530.0,734.0,11531666.0,3166.0,-6514.5,31.0,True,22415.5,2011-06-13,583018.0,4217334010.0,,,,,,,,,,,,,,,,,,,,,17348.24777895451,2012-06-01,603624.0,4217334806.0,17450.951012767186,2012-06-01,603624.0,4217334806.0
583478,4217334703,2012-07-13,911150.5,417.0,11499131.5,6373.0,-4575.5,73.0,True,,,,,,,,,,,,,,,,,,,,,,,,,17550.972124073356,2012-06-01,603624.0,4217334806.0,17551.039135903036,2012-06-01,603624.0,4217334806.0
